MODEL,SHAPE,LENGTH,R LENGTH,WIDTH,TAPER,max Radius,min Radius,SETBACK
RASMAN,-0.8626621856275074,0.5527196230188152,0.5798270894997493,0.22986188927292114,-0.24299487743865725,-0.0749895683239585,0.4866863566876397,0.09002405164278442
ORCA,-0.8626621856275074,-0.9211993716980252,0.015397635504977735,0.4572977955455996,0.6050437822085347,-1.218123231798876,-0.7967692252945415,2.245461215942148
SKUNK APE,-0.8626621856275074,0.5527196230188152,0.5798270894997493,0.48256845179811936,-0.34899970989455625,0.4965772634135002,1.1284141476787304,0.3979436465426935
G.ORCA,-0.8626621856275074,0.5527196230188152,0.35405530790184064,0.4067564830405599,0.3930341172967367,-0.0749895683239585,0.4866863566876397,0.3979436465426935
A.ORCA,-0.8626621856275074,-0.9211993716980252,0.015397635504977735,0.35621517053552026,0.3930341172967367,-0.0749895683239585,0.4866863566876397,0.3979436465426935
DOUBLE DIP,1.2939932784412609,1.2896791203772353,0.24116941710288634,0.48256845179811936,-0.5610093748063543,-0.0749895683239585,0.4866863566876397,-0.8337347330569427
STEERY -D,1.2939932784412609,4.237517109810916,0.9184847618966121,-5.615240901934914,-0.3914016428769158,-0.0749895683239585,-2.0802248072767227,5.324657164941239
CYGNUS BM,-0.8626621856275074,-0.5527196230188152,0.015397635504977735,0.2045912330204013,-0.5610093748063543,-1.218123231798876,-0.7967692252945415,0.3979436465426935
RETRO RIPPER,-0.8626621856275074,0.18423987433960504,-1.1134612724845652,0.12877926426284184,1.1350679444880296,-0.0749895683239585,-2.0802248072767227,-0.21789554325712462
JAMIE LYNN SW,-0.8626621856275074,-2.0266386177356557,-2.0165483988761994,-5.607659705059159,0.07501961992903972,-2.3612568952737933,-2.0802248072767227,2.861300405741966
MONEY,1.2939932784412609,0.18423987433960504,0.8055988710976578,0.15404992051536165,-0.5610093748063543,0.15363716437102418,0.743377473084075,-0.8337347330569427
HEAD SPACE,1.2939932784412609,-0.18423987433960504,0.5798270894997493,-5.658201017564198,-0.5610093748063543,0.15363716437102418,0.743377473084075,-0.8337347330569427
GWO,1.2939932784412609,0.18423987433960504,1.0313706526955664,0.12877926426284184,-0.5610093748063543,0.15363716437102418,0.743377473084075,-0.8337347330569427
FINEST,1.2939932784412609,-0.5527196230188152,0.35405530790184064,0.05296729550528236,-0.5610093748063543,0.03932379802353283,0.22999524029120322,-0.8337347330569427
RIDERS CHOICE,1.2939932784412609,-0.3684797486792101,0.6927129802987035,0.07823795175780218,-0.5610093748063543,0.03932379802353283,0.10164968209298554,-0.8337347330569427
ANTIGRAVITY,-0.8626621856275074,0.18423987433960504,0.12828352630393203,0.15404992051536165,-0.24299487743865725,-0.0749895683239585,0.4866863566876397,0.3979436465426935
ESSENTIAL,1.2939932784412609,-0.18423987433960504,0.4669411987007949,0.10350860801032201,-0.5610093748063543,0.15363716437102418,0.743377473084075,-0.21789554325712462
GREMLIN,-0.8626621856275074,-0.18423987433960504,-0.21037414609293087,0.3814858267880401,0.7110486146644337,-0.9894964991038923,-0.540078108898105,1.6296220261423298
HYPER,-0.8626621856275074,-0.5527196230188152,0.35405530790184064,0.02769663925276254,0.07501961992903972,0.03932379802353283,0.6150319148858574,1.0137828363425117
4by4,-0.8626621856275074,0.5527196230188152,1.0313706526955664,0.15404992051536165,-0.5610093748063543,0.3822638970660089,1.0000685894805126,0.3979436465426935
BANKED COUNTRY,-0.8626621856275074,-0.18423987433960504,0.24116941710288634,0.10350860801032201,-0.34899970989455625,0.15363716437102418,0.743377473084075,1.0137828363425117
