,Q-sv(20%),Q-sv(10%),Q-sv(2%),Q-sv(1%),Q-ov,L-sv(20%),L-sv(10%),L-sv(2%),L-sv(1%),L-ov,S-sv(20%),S-sv(10%),S-sv(2%),S-sv(1%),S-ov,T-sv(20%),T-sv(10%),T-sv(2%),T-sv(1%),T-ov
11,8,9,13,13,14,4.174290985600441,3.969065570589913,4.3793432000016725,4.3793432000016725,4.446451735330491,1.19961966129271,1.102721531274365,1.228212409882555,1.228212409882555,1.2361593453894304,0.0395197868347168,0.05399584770202637,0.0681610107421875,0.07965922355651855,0.0801537036895752
12,10,10,15,15,18,4.326405371805118,4.098437837049721,3.916723523936678,4.338484318653532,5.045282378631983,1.1318117902111704,1.1165945018977104,1.0941088109336066,1.1836060972346985,1.3182110752860687,0.0400998592376709,0.06175804138183594,0.08718585968017578,0.09041714668273926,0.09563946723937988
13,8,12,19,23,23,4.001755053512463,4.537825813440428,5.228902353797449,5.350363316985392,5.141003856071286,1.0747855638063144,1.2252821175024367,1.4497412001335648,1.4317736498080755,1.3932740151352438,0.04869842529296875,0.07325387001037598,0.10152077674865723,0.10302519798278809,0.10701251029968262
14,10,11,20,20,21,4.774676167701174,4.057881577423829,4.707248025622299,4.618795345023908,5.06573089373986,1.399627574021402,1.1802788054958493,1.2973488061789573,1.2784742585340194,1.391997130303841,0.04944562911987305,0.05923795700073242,0.09184479713439941,0.10620808601379395,0.1376349925994873
15,10,12,23,26,30,4.002636371978718,4.105829332337901,5.442671166672489,5.917928519229437,6.452876299959784,1.0100199320509786,1.0558378485846358,1.398859258087219,1.4811452012129032,1.6310793306135865,0.169633150100708,0.10296440124511719,0.16340994834899902,0.1875591278076172,0.18375921249389648
16,8,9,12,12,13,3.7964348659744815,3.856725249171314,4.545555584497199,4.608454165190712,4.5621666499578195,1.0045111872828836,1.0473185501701083,1.1718615217248085,1.181900107865879,1.2213328787755175,0.03832411766052246,0.051084280014038086,0.06823849678039551,0.06649947166442871,0.07028484344482422
17,8,13,25,31,35,3.9029426246151266,4.3392105352672194,6.038185275012091,7.002292505900031,7.451284688183657,1.0804453624635943,1.2620114395592652,1.4100240544968432,1.6704568110843905,1.6928343394378287,0.04604148864746094,0.05225634574890137,0.2554900646209717,0.14948463439941406,0.15456438064575195
18,7,10,15,16,17,3.409639026288305,3.7028403397925396,4.090521630418063,4.090802478832211,4.360577044488219,0.8630391329737837,0.9660121169156276,1.066039508938572,1.0669051211698,1.1011203262165459,0.04534769058227539,0.07460236549377441,0.16714763641357422,0.13773584365844727,0.1529850959777832
19,9,12,16,19,22,3.687500224171921,4.070255122558274,4.4856522884403525,4.8907619929175645,5.351556030944195,0.9713673020523699,1.0768688529199555,1.2394357909357214,1.4443270887172799,1.5346676561590171,0.04841971397399902,0.0780031681060791,0.13724231719970703,0.1343398094177246,0.14381909370422363
20,9,12,16,17,19,3.8017617508738546,4.604445668726663,5.394798873057932,5.778271892221797,5.836096524938892,1.0017211770264842,1.2671404953036502,1.3667102398449924,1.3595098469406812,1.3880400696061712,0.05384969711303711,0.09579730033874512,0.11410331726074219,0.11626911163330078,0.12040376663208008
