,Q-sv(20%),Q-sv(10%),Q-sv(2%),Q-sv(1%),Q-ov,L-sv(20%),L-sv(10%),L-sv(2%),L-sv(1%),L-ov,S-sv(20%),S-sv(10%),S-sv(2%),S-sv(1%),S-ov,T-sv(20%),T-sv(10%),T-sv(2%),T-sv(1%),T-ov
18,12,17,23,24,24,3.709830374880539,3.9497054529892965,4.077895690291501,4.18985120705438,4.18985120705438,1.0308435275631673,1.1234717321182721,1.168426021428599,1.1894200369274477,1.1894200369274477,0.009868144989013672,0.010518550872802734,0.013428688049316406,0.014856338500976562,0.01578044891357422
19,10,17,21,21,23,3.5691369166132634,4.2021153686899355,4.424618842137328,4.424618842137328,4.722002171807546,0.9410968851709038,1.1471942554423418,1.217993913412989,1.217993913412989,1.2721385657491704,0.009435653686523438,0.016132116317749023,0.012898683547973633,0.014082193374633789,0.013452291488647461
20,15,17,24,30,30,3.8028264308978508,3.9521017529144,5.089900416617988,5.23082970109446,5.23082970109446,1.062698321217069,1.1176158780749132,1.3316551553054534,1.4532377010677224,1.4532377010677224,0.010619163513183594,0.010084152221679688,0.013934612274169922,0.014704704284667969,0.01547694206237793
21,13,15,21,23,24,3.553686094709361,3.6149089272519355,4.146055067050411,4.225494924252273,4.323709778284407,0.949017961748736,0.9733905941938195,1.1018924015150036,1.1227976284616314,1.1449952744417073,0.01289987564086914,0.009634256362915039,0.011906147003173828,0.017282485961914062,0.02029728889465332
22,11,14,31,32,40,3.512047725353503,3.6491903882184458,5.943847063748073,5.97865791118189,6.589476590419458,0.9216340303666203,0.9733665538378073,1.4723172878478705,1.4807692875060074,1.6111340482888046,0.010420083999633789,0.010589838027954102,0.016666412353515625,0.01694655418395996,0.017724037170410156
23,12,16,22,22,24,3.577638137668642,3.8229961221405033,4.3045869803454835,4.3045869803454835,4.389094589569301,0.9269370496562356,1.0151504477556414,1.1195805759394089,1.1195805759394089,1.1395154624049957,0.01035165786743164,0.015003204345703125,0.01643991470336914,0.015662193298339844,0.017033815383911133
24,14,19,24,26,36,3.6584669729966004,4.003171225713003,4.365686050683529,4.468044937717189,5.566034149805688,1.0075900724426592,1.1084532037750021,1.190448070043065,1.210418950129747,1.3751576410722404,0.01324319839477539,0.011579751968383789,0.016390323638916016,0.015521526336669922,0.018367290496826172
25,12,15,24,24,25,3.850699478583791,3.9915958595174907,4.668850916229862,4.668850916229862,4.769383135395708,1.054872686435266,1.1108995202754115,1.2611031581139838,1.2611031581139838,1.2786048317052798,0.009408235549926758,0.011310338973999023,0.015701770782470703,0.01589345932006836,0.016352176666259766
26,9,11,15,15,15,3.624298549530775,3.7156769800843747,4.232264951854838,4.232264951854838,4.232264951854838,0.9663121781729062,1.0121925988147213,1.1481832046794056,1.1481832046794056,1.1481832046794056,0.010755538940429688,0.009906530380249023,0.012011289596557617,0.012459516525268555,0.010456562042236328
27,15,19,24,25,34,3.661928837342548,3.9720598848249686,4.283555396354291,4.368959288233662,5.537219130124745,0.9742377559258644,1.0872760097335055,1.1665900003259644,1.1845358020333636,1.3604150317756498,0.010547876358032227,0.012838125228881836,0.015589714050292969,0.017697811126708984,0.017839908599853516
28,11,14,22,24,25,3.631668014459683,3.7673017963499458,4.794155111924522,4.869032225216557,4.877341384185842,0.9733084838921788,1.0264564011936352,1.2505550941966124,1.2703397122021745,1.2726820735624407,0.01055145263671875,0.010804414749145508,0.015589475631713867,0.016529321670532227,0.018590927124023438
29,14,15,28,49,58,3.52727645852406,3.5480517896604784,4.708128747087523,6.127144192566846,7.18348510489172,0.9184242067992585,0.9252738442370475,1.1284350979705156,1.503591629715828,1.636359319354183,0.01039886474609375,0.013896465301513672,0.019185781478881836,0.023815393447875977,0.025069475173950195
30,12,14,23,24,27,3.404329891687213,3.54657259045714,4.370770526717733,4.478070766931788,4.837640542226101,0.8673754722722831,0.9129424265690653,1.0865712517004908,1.1043816021856705,1.1622203445827164,0.010082721710205078,0.01072835922241211,0.01428985595703125,0.01572251319885254,0.017182111740112305
31,9,13,20,24,31,3.581091809972698,3.794816485676478,4.4515688606614505,4.88552044393659,5.591571293489012,0.9589657309274929,1.0360653504101713,1.1756630637330792,1.25747693084251,1.3672827911356555,0.009697914123535156,0.01001596450805664,0.01496434211730957,0.016568660736083984,0.01725316047668457
32,14,18,21,22,26,4.043266249730489,4.239649650401691,4.345338168677465,4.436663170870368,4.755485217938421,1.0663290073270715,1.141496319692789,1.1746882535057217,1.194700955382529,1.259096343000606,0.010061502456665039,0.011905431747436523,0.015019655227661133,0.01479959487915039,0.015573501586914062
33,9,12,13,13,14,3.5744174685297603,3.668856758786037,3.67592628419349,3.67592628419349,3.83508623012815,0.9528473040773923,0.9982341381798595,1.0014816612623578,1.0014816612623578,1.0454800677516207,0.0094451904296875,0.010040521621704102,0.00994873046875,0.010816335678100586,0.010655403137207031
34,12,16,20,23,29,3.6516404937289657,3.8499322137419822,4.181490719806675,4.47211596436859,5.12362571553353,0.9504600281162172,1.0245932247647294,1.1012029636682719,1.1463681846001936,1.2363692815287513,0.012108564376831055,0.010568380355834961,0.018373727798461914,0.019824504852294922,0.022098302841186523
35,14,18,30,32,37,3.791796469088893,3.9988851670010956,5.112971291181364,5.0732156124097525,5.041820817128118,1.0369121896664182,1.1104124477087847,1.343431633197148,1.3597560923164826,1.413254611411044,0.012560844421386719,0.011199951171875,0.016638517379760742,0.017482519149780273,0.01955127716064453
36,16,20,23,28,29,3.7617672001393943,3.9823151197329945,4.130423423530458,4.866549546967603,4.987204199042358,0.9847127613737218,1.060435454352182,1.099356135327078,1.2206730970138007,1.2397996603045383,0.013219356536865234,0.011267900466918945,0.015418767929077148,0.015906095504760742,0.01767110824584961
37,13,19,31,32,35,3.65091192118668,3.9935375988565687,5.094060570672233,5.113452590756203,5.132664315664767,0.9750724203051581,1.0865608101881763,1.3516473868019034,1.3564655104267755,1.400030533424243,0.012955427169799805,0.01251220703125,0.017908334732055664,0.018503427505493164,0.01944589614868164
